Estado,Municipio,Parroquia,Chavez,Radonski,Sequera,Bolivar,Reyes,Chirino,Valid,Invalid,Total
Bolivar,Cedeño,Caicara Del Orinoco,13747,5912,84,4,22,7,19776,425,20201
Bolivar,Cedeño,Guaniamo,386,86,0,0,0,0,472,3,475
Bolivar,Cedeño,La Urbana,1274,386,2,0,1,1,1664,14,1678
Bolivar,Cedeño,Pijiguaos,3128,935,18,1,4,2,4088,104,4192
Bolivar,El Callao,El Callao,4664,7214,68,3,3,7,11959,375,12334
Bolivar,Gran Sabana,Ikabaru,416,285,3,0,1,1,706,15,721
Bolivar,Gran Sabana,Santa Elena De Uairen,7234,4541,105,12,23,19,11934,315,12249
Bolivar,Heres,Agua Salada,15903,13078,206,24,11,8,29230,676,29906
Bolivar,Heres,Catedral,17312,20937,265,21,10,8,38553,812,39365
Bolivar,Heres,Jose Antonio Paez,8462,4350,127,1,14,5,12959,358,13317
Bolivar,Heres,La Sabanita,21902,20184,321,15,22,16,42460,921,43381
Bolivar,Heres,Marhuanta,7637,4489,98,4,5,7,12240,331,12571
Bolivar,Heres,Orinoco,784,292,6,1,1,1,1085,21,1106
Bolivar,Heres,Panapana,1113,294,9,2,2,2,1422,56,1478
Bolivar,Heres,Vista Hermosa,12744,21711,180,27,11,5,34678,579,35257
Bolivar,Heres,Zea,716,398,5,1,0,0,1120,35,1155
Bolivar,Padre Pedro Chien,El Palmar,4545,3738,50,1,11,10,8355,177,8532
Bolivar,Piar,Andres Eloy Blanco,2955,1729,38,2,1,2,4727,104,4831
Bolivar,Piar,Pedro Cova,1809,1948,22,1,0,0,3780,107,3887
Bolivar,Piar,Upata,19918,26202,330,6,31,11,46498,1088,47586
Bolivar,Roscio,Guasipati,5513,6066,75,2,7,2,11665,320,11985
Bolivar,Roscio,Salom,515,534,6,0,1,0,1056,44,1100
Bolivar,Sifontes,Dalla Costa,2280,949,29,0,2,6,3266,59,3325
Bolivar,Sifontes,San Isidro,2513,964,43,2,3,5,3530,114,3644
Bolivar,Sifontes,Tumeremo,5851,6349,113,5,9,6,12333,344,12677
Bolivar,Sucre,Aripao,874,218,5,0,2,0,1099,31,1130
Bolivar,Sucre,Guarataro,3109,840,20,4,3,1,3977,79,4056
Bolivar,Sucre,Las Majadas,249,201,0,0,0,0,450,18,468
Bolivar,Sucre,Maripa,1537,927,26,0,5,0,2495,136,2631
Bolivar,Sucre,Moitaco,2207,1041,18,0,2,2,3270,80,3350
Carabobo,Bejuma,Bejuma,8765,8287,64,7,7,4,17134,253,17387
Carabobo,Bejuma,Canoabo,2290,1796,11,4,5,2,4108,71,4179
Carabobo,Bejuma,Simon Bolivar,2421,2332,14,1,1,2,4771,79,4850
Carabobo,Carlos Arvelo,Belen,5537,1874,29,2,6,1,7449,123,7572
Carabobo,Carlos Arvelo,Guigue,24870,10759,235,17,22,11,35914,861,36775
Carabobo,Carlos Arvelo,Tacarigua,21941,8355,175,15,24,14,30524,693,31217
Carabobo,Diego Ibarra,Aguas Calientes,21002,5764,148,11,18,8,26951,624,27575
Carabobo,Diego Ibarra,Mariara,17288,8693,125,13,24,4,26147,560,26707
Carabobo,Guacara,Ciudad Alianza,2640,9430,24,4,2,1,12101,99,12200
