Estado,Municipio,Parroquia,Hugo Chavez,Henrique Capriles Radonski,Reina Sequera,Maria Bolivar,Luis Reyes,Orlando Chirino,Valid votes,Null votes
Cojedes,Ricaurte,Libertad De Cojedes,5617,1432,44,2,2,1,7098,158
Cojedes,Ricaurte,El Amparo,927,171,8,0,2,1,1109,19
Cojedes,Ezequiel Zamora,Manuel Manrique,1538,879,12,2,2,1,2434,61
Cojedes,Lima Blanco,Macapo,2972,1549,15,2,0,0,4538,101
Cojedes,Lima Blanco,La Aguadita,1840,677,11,0,3,1,2532,70
Falcon,Acosta,Libertador,285,264,2,0,0,0,551,19
Falcon,Acosta,San Juan De Los Cayos,2523,2232,22,1,2,1,4781,109
Falcon,Acosta,Capadare,2357,1253,11,0,1,1,3623,71
Falcon,Acosta,La Pastora,1342,476,11,1,2,2,1834,31
Falcon,Bolivar,Aracua,1152,425,6,0,0,1,1584,29
Falcon,Bolivar,San Luis,2024,941,22,4,3,0,2994,62
Falcon,Buchivacoa,Capatarida,2872,2019,28,3,0,0,4922,100
Falcon,Buchivacoa,Borojo,731,592,6,0,0,0,1329,15
Falcon,Buchivacoa,Seque,964,583,8,1,1,1,1558,33
Falcon,Buchivacoa,Bariro,793,832,8,0,2,0,1635,47
Falcon,Buchivacoa,Zazarida,2533,599,17,1,2,0,3152,58
Falcon,Carirubana,Norte,17430,10031,158,8,10,3,27640,476
Falcon,Carirubana,Santa Ana,6531,2442,58,3,3,0,9037,189
Falcon,Carirubana,Carirubana,31146,23823,296,28,22,23,55338,1124
Falcon,Colina,Guaibacoa,274,215,2,0,0,0,491,7
Falcon,Colina,La Vela De Coro,9409,6042,88,2,3,1,15545,288
Falcon,Colina,Acurigua,680,382,3,0,1,0,1066,23
Falcon,Colina,Macoruca,609,197,5,0,0,0,811,19
Falcon,Democracia,Avaria,415,142,10,0,0,0,567,8
Falcon,Democracia,Agua Clara,112,97,2,0,0,0,211,3
Falcon,Democracia,Piedra Grande,400,171,5,0,0,0,576,7
Falcon,Democracia,Pedregal,2686,1405,23,1,1,2,4118,76
Falcon,Falcon,Baraived,1506,805,17,1,2,0,2331,41
Falcon,Falcon,Adicora,2214,1197,20,1,1,1,3434,78
Falcon,Falcon,Moruy,2975,1368,23,1,3,1,4371,107
Falcon,Falcon,Buena Vista,1816,1121,14,2,0,0,2953,53
Falcon,Falcon,El Hato,948,343,3,0,1,0,1295,11
Falcon,Falcon,Jadacaquiva,1551,1008,13,1,1,3,2577,43
Falcon,Falcon,El Vinculo,1230,718,7,0,4,1,1960,55
Falcon,Falcon,Adaure,811,461,9,0,0,1,1282,25
Falcon,Federacion,Churuguara,4318,3809,39,4,7,6,8183,185
Falcon,Federacion,Agua Larga,1277,375,12,0,0,1,1665,28
Falcon,Federacion,El Pauji,1375,368,7,0,2,0,1752,44
Falcon,Federacion,Maparari,2320,1018,17,0,5,1,3361,118
Falcon,Mauroa,Casigua,2463,1007,11,0,0,3,3484,98
Falcon,Mauroa,San Felix,640,408,12,0,0,1,1061,9
Falcon,Miranda,San Antonio,32734,22880,367,27,37,27,56072,1227
Falcon,Miranda,Mitare,564,399,6,0,1,0,970,17
Falcon,Petit,Curimagua,1429,474,7,1,1,0,1912,59
Falcon,Petit,Colina,1382,276,5,0,2,0,1665,41
Falcon,Petit,Cabure,3049,1212,27,1,4,1,4294,85
Falcon,Zamora,Puerto Cumarebo,7794,5478,97,5,3,5,13382,211
Falcon,Zamora,Pueblo Cumarebo,1099,389,8,0,0,1,1497,12
Falcon,Zamora,La Soledad,813,316,5,2,0,0,1136,24
Falcon,Zamora,Zazarida,627,67,0,0,0,1,695,7
Falcon,Dabajuro,Dabajuro,6430,4781,60,3,4,1,11279,258
Falcon,Mons. Iturriza,Tocuyo De La Costa,3269,1606,15,0,1,0,4891,114
Falcon,Mons. Iturriza,Chichiriviche,2141,2524,24,0,1,3,4693,129
